video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_100_part_6,82,90.75710229006359,0.0,ok
Subj_100_part_60,81,105.32013390671928,0.05,ok
Subj_100_part_61,106,27.44317475868634,0.0,ok
Subj_100_part_62,110,43.02493206660572,0.0,ok
Subj_100_part_63,150,2106.959433528848,0.5570469798657718,ok
Subj_100_part_64,108,102.26693079565447,0.009345794392523364,ok
Subj_100_part_65,141,309.64650077373835,0.04285714285714286,ok
Subj_100_part_66,135,146.6061501707015,0.03731343283582089,ok
Subj_100_part_67,144,98.23294155059494,0.0,ok
Subj_100_part_68,156,151.26239592886193,0.0,ok
Subj_100_part_69,144,161.1848642755061,0.013986013986013986,ok
Subj_100_part_7,156,87.66161483448701,0.0,ok
Subj_100_part_70,155,195.05788385064892,0.032467532467532464,ok
Subj_100_part_71,144,193.76986588227413,0.04195804195804196,ok
Subj_100_part_72,156,409.6990982167305,0.16129032258064516,ok
Subj_100_part_73,144,155.3407963724515,0.02097902097902098,ok
Subj_100_part_74,156,150.09357560279187,0.0,ok
Subj_100_part_75,144,133.83209029268448,0.013986013986013986,ok
Subj_100_part_76,156,228.8925160784143,0.07096774193548387,ok
Subj_100_part_77,144,152.0217904831722,0.0,ok
Subj_100_part_78,118,152.76576709261744,0.03418803418803419,ok
Subj_100_part_79,133,215.91878881508734,0.08333333333333333,ok
Subj_100_part_8,113,292.8938619599298,0.11607142857142858,ok
Subj_100_part_80,94,255.5622018950548,0.16129032258064516,ok
Subj_100_part_81,144,86.42199461090848,0.013986013986013986,ok
Subj_100_part_82,156,75.78208204396498,0.0,ok
Subj_100_part_83,144,91.80364623583112,0.027972027972027972,ok
Subj_100_part_84,156,106.59224954086288,0.03870967741935484,ok
Subj_100_part_85,144,102.72964982927942,0.013986013986013986,ok
Subj_100_part_86,156,137.02847176145679,0.05161290322580645,ok
Subj_100_part_87,143,463.39372308564646,0.2887323943661972,ok
Subj_100_part_88,91,111.39514679138644,0.044444444444444446,ok
Subj_100_part_89,120,355.4984294742221,0.17647058823529413,ok
Subj_100_part_9,156,94.40885749925147,0.0064516129032258064,ok
Subj_100_part_90,156,516.5420418646049,0.33548387096774196,ok
Subj_100_part_91,144,553.3174066790964,0.42657342657342656,ok
Subj_100_part_92,156,489.46825782069675,0.2967741935483871,ok
Subj_100_part_93,144,354.6607423497727,0.23776223776223776,ok
Subj_100_part_94,156,450.4939592172674,0.2838709677419355,ok
Subj_100_part_95,144,462.30355625874927,0.34265734265734266,ok
Subj_100_part_96,156,661.4574045311429,0.432258064516129,ok
Subj_100_part_97,136,242.63928545739893,0.02962962962962963,ok
Subj_100_part_98,156,448.9204217244479,0.05161290322580645,ok
Subj_100_part_99,144,169.52520356088786,0.006993006993006993,ok
Subj_101_part_1,127,80.36856877153106,0.0,ok
Subj_101_part_10,120,90.99326686609548,0.0,ok
Subj_101_part_100,116,67.89906559038066,0.0,ok
Subj_101_part_101,132,108.31656943331276,0.061068702290076333,ok
Subj_101_part_102,120,82.82160206645446,0.01680672268907563,ok
Subj_101_part_103,132,62.48367937457476,0.0,ok
Subj_101_part_104,120,31.68910180061537,0.0,ok
Subj_101_part_105,120,206.17133884149587,0.08403361344537816,ok
Subj_101_part_106,132,120.22066546476034,0.05343511450381679,ok
Subj_101_part_107,120,187.14116448516802,0.07563025210084033,ok
Subj_101_part_108,132,115.93451779768097,0.03816793893129771,ok
Subj_101_part_109,120,108.59120829935091,0.008403361344537815,ok
Subj_101_part_11,132,49.51069211432192,0.0,ok
Subj_101_part_110,132,162.6287265638171,0.03816793893129771,ok
Subj_101_part_111,118,647.8688461784066,0.2564102564102564,ok
Subj_101_part_112,115,238.7842284679284,0.09649122807017543,ok
Subj_101_part_113,99,309.7630041643821,0.16326530612244897,ok
Subj_101_part_114,106,180.96459710418077,0.02857142857142857,ok
Subj_101_part_115,116,123.56113369088578,0.017391304347826087,ok
Subj_101_part_116,120,377.8538064240062,0.14285714285714285,ok
Subj_101_part_117,120,107.69615805108417,0.01680672268907563,ok
Subj_101_part_118,96,64.00113484597088,0.010526315789473684,ok
Subj_101_part_119,120,71.20967633385584,0.0,ok
Subj_101_part_12,120,64.38843446656969,0.0,ok
Subj_101_part_120,127,71.6775087466853,0.0,ok
Subj_101_part_121,95,67.19189278579509,0.010638297872340425,ok
Subj_101_part_13,132,61.07877070103331,0.0,ok
Subj_101_part_14,120,34.839383340488254,0.0,ok
Subj_101_part_15,120,67.45100819941631,0.008403361344537815,ok
Subj_101_part_16,132,63.20371179102908,0.0,ok
Subj_101_part_17,120,91.74786086623266,0.0,ok
Subj_101_part_18,132,117.94021283492285,0.007633587786259542,ok
Subj_101_part_19,120,84.79060130695837,0.01680672268907563,ok
Subj_101_part_2,120,68.02212428028137,0.0,ok
Subj_101_part_20,120,87.1474761450782,0.0,ok
Subj_101_part_21,132,68.69185995258482,0.0,ok
Subj_101_part_22,120,51.24566858935085,0.0,ok
Subj_101_part_23,132,46.30602027175037,0.0,ok
Subj_101_part_24,120,104.8060742363047,0.0,ok
Subj_101_part_25,132,54.59357719918582,0.0,ok
Subj_101_part_26,120,118.69826001204595,0.01680672268907563,ok
Subj_101_part_27,120,89.22117550117869,0.025210084033613446,ok
Subj_101_part_28,132,20.36067467586918,0.0,ok
Subj_101_part_29,120,64.27368691341421,0.0,ok
Subj_101_part_3,120,80.4420690438644,0.0,ok
Subj_101_part_30,126,259.6866139424039,0.152,ok
Subj_101_part_31,120,68.18321231377863,0.01680672268907563,ok
Subj_101_part_32,120,57.271924985845494,0.0,ok
Subj_101_part_33,132,61.15477803818342,0.0,ok
Subj_101_part_34,120,87.52663468607335,0.0,ok
Subj_101_part_35,132,65.89500717618918,0.0,ok
Subj_101_part_36,132,141.18362437632456,0.015267175572519083,ok
Subj_101_part_37,120,270.90985209575206,0.09243697478991597,ok
Subj_101_part_38,132,99.58297172747572,0.0,ok
Subj_101_part_39,120,54.53729822503112,0.0,ok
Subj_101_part_4,132,53.898762272388325,0.0,ok
Subj_101_part_40,119,85.55051287983119,0.025423728813559324,ok
Subj_101_part_41,132,56.59197074876367,0.0,ok
Subj_101_part_42,120,37.39334625631722,0.0,ok
Subj_101_part_43,132,148.4023928007761,0.030534351145038167,ok
Subj_101_part_44,117,80.10848690121797,0.017241379310344827,ok
Subj_101_part_45,120,166.93251697098978,0.09243697478991597,ok
